CGPA,HTML_CSS,JavaScript,React,NextJS,NodeJS,Python,Java,Cpp,SQL,Data_Analysis,Machine_Learning,Networking,Cybersecurity,Git_GitHub,Communication,Problem_Solving,Projects,Certifications,Interest,Recommended_Career
3.8,3,3,3,2,2,1,0,0,1,0,0,0,0,3,3,3,3,2,Frontend,Frontend Developer
3.6,3,3,2,2,1,1,0,0,1,0,0,0,0,3,2,3,2,2,Frontend,Frontend Developer
3.4,3,3,3,2,2,1,0,0,1,0,0,0,0,2,2,3,3,1,Frontend,Frontend Developer
3.7,2,3,2,1,3,2,0,0,3,1,0,0,0,3,2,3,3,2,Backend,Backend Developer
3.5,2,3,1,1,3,3,0,0,3,1,0,0,0,2,2,3,2,2,Backend,Backend Developer
3.2,1,2,1,0,3,3,1,0,3,1,0,0,0,2,2,3,2,1,Backend,Backend Developer
3.9,3,3,3,2,3,3,0,0,3,1,0,0,0,3,3,3,3,3,FullStack,Full-Stack Developer
3.7,3,3,2,2,3,2,0,0,3,1,0,0,0,3,3,3,3,2,FullStack,Full-Stack Developer
3.5,3,3,2,1,3,2,0,0,2,1,0,0,0,2,2,3,2,2,FullStack,Full-Stack Developer
3.8,0,0,0,0,0,3,0,0,3,3,3,0,0,2,3,3,3,2,Data,Data Analyst
3.6,0,1,0,0,0,3,0,0,3,3,2,0,0,2,3,3,2,2,Data,Data Analyst
3.4,0,1,0,0,0,3,0,0,3,3,3,0,0,1,2,3,2,1,Data,Data Analyst
3.9,0,0,0,0,0,3,0,0,2,2,3,0,0,2,2,3,3,3,AI,Machine Learning Engineer
3.7,0,0,0,0,0,3,0,0,2,3,3,0,0,2,3,3,3,2,AI,Machine Learning Engineer
3.5,0,0,0,0,0,3,0,0,2,2,3,0,0,1,2,3,2,2,AI,Machine Learning Engineer
3.8,0,0,0,0,0,2,0,0,1,0,0,3,3,2,3,3,2,2,Security,Cybersecurity Analyst
3.6,0,0,0,0,0,2,0,0,1,0,0,3,3,2,2,3,3,2,Security,Cybersecurity Analyst
3.3,0,0,0,0,0,1,0,0,1,0,0,3,3,1,2,3,2,1,Security,Cybersecurity Analyst
3.8,0,0,0,0,0,2,0,0,1,0,0,3,0,3,2,3,3,2,Cloud,Cloud Engineer
3.6,0,0,0,0,0,2,0,0,1,0,0,3,0,3,2,3,2,2,Cloud,Cloud Engineer
3.4,0,0,0,0,0,2,0,0,1,0,0,3,0,2,2,3,2,1,Cloud,Cloud Engineer
3.7,0,0,0,0,0,3,3,2,2,0,0,0,0,3,2,3,3,2,Software,Software Developer
3.5,0,0,0,0,0,2,3,2,2,0,0,0,0,2,2,3,2,2,Software,Software Developer
3.2,0,0,0,0,0,2,2,3,1,0,0,0,0,2,2,3,2,1,Software,Software Developer
